,Product,ihs_match
1183,"LIQUID CRYSTAL POLYMER, NEAT","LIQUID CRYSTAL POLYMER FROM P-HBA AND 6-HYDROXY-2-NAPHTHOIC ACID, NEAT"
1184,"LIQUID CRYSTAL POLYMER, NEAT","LIQUID CRYSTAL POLYMER FROM P-HBA, TEREPHTHALIC ACID, AND 4,4-DHDP, NEAT"
1185,LIQUID FUELS,LIQUID FUELS PRODUCTION FROM VACUUM DISTILLATION
1186,LIQUID FUELS,LIQUID FUELS BY CHEVRON LUMMUS GLOBAL LC-SLURRY TECHNOLOGY FOR VR UPGRADE
1187,LIQUID HYDROCARBONS,PYROLYSIS OF WASTE PLASTICS TO SUPPLEMENTARY LIQUID REFINERY AND/OR STEAM CRACKER FEEDSTOCKS
1188,LIQUID HYDROCARBONS,CATALYTIC CRACKING OF PLASTICS WASTE TO LIQUID HYDROCARBONS
1189,LIQUID HYDROCARBONS,AGILYX MIXED WASTE PLASTICS TO CRUDE OIL PYROLYSIS PROCESS
1190,LIQUID HYDROCARBONS,SYNTHETIC CRUDE OIL BY HYDROGENATION OF VACUUM RESIDUE
1191,LIQUID HYDROCARBONS,PLASTIC ENERGY’S TAC PROCESS FOR PLASTIC RECYCLING
1192,LIQUID HYDROCARBONS,KLEAN INDUSTRIES SPR PLASTIC LIQUEFACTION PROCESS
1195,LUBE BASE OILS,GTL WITH LUBE BASE OILS PRODUCTION PROCESS
1196,M-AMINOPHENOL,M-AMINOPHENOL FROM RESORCINOL BY NON-CATALYTIC HOMOGENEOUS AMINATION
1197,M-AMINOPHENOL,M-AMINOPHENOL FROM RESORCINOL BY NON-CATALYTIC HETEROGENEOUS AMINATION
1199,M-PHENOXYBENZALDEHYDE,M-PHENOXYBENZALDEHYDE FROM M-CRESOL
1200,M-TOLUIDINE,M-TOLUIDINE FROM M-CRESOL
1201,M-TOLYL ISOCYANATE,M-TOLYL ISOCYANATE FROM M-TOLUIDINE
1211,MALATHION,"MALATHION FROM METHANOL, P2S5, ETHANOL, AND MALEIC ANHYDRIDE"
1212,MALEIC ANHYDRIDE,MALEIC ANHYDRIDE FROM n-BUTANE BY THE BOC/MITSUBISHI TECHNOLOGY
1213,MALEIC ANHYDRIDE,"MALEIC ANHYDRIDE FROM BENZENE, FIXED BED REACTOR, DIRECT DEHYDRATION"
1214,MALEIC ANHYDRIDE,MALEIC ANHYDRIDE FROM HUNTSMAN PROCESS
1215,MALEIC ANHYDRIDE,MALEIC ANHYDRIDE FROM N-BUTANE FROM FIXED BED REACTORS
1216,MALEIC ANHYDRIDE,"MALEIC ANHYDRIDE FROM N-BUTANE, FIXED BED REACTOR, AZEOTROPIC DISTILLATION"
1217,MALEIC ANHYDRIDE,"MALEIC ANHYDRIDE FROM N-BUTANE, FIXED BED REACTOR, DIRECT DEHYDRATION"
1218,MALEIC ANHYDRIDE,"MALEIC ANHYDRIDE FROM N-BUTANE, FIXED BED REACTOR, ORGANIC SOLVENT ABSORBER"
1219,MALEIC ANHYDRIDE,"MALEIC ANHYDRIDE FROM N-BUTANE, FLUID BED REACTOR, DIRECT DEHYDRATION"
1220,MALEIC ANHYDRIDE,"MALEIC ANHYDRIDE FROM N-BUTANE, FLUID BED REACTOR, ORGANIC SOLVENT ABSORBER"
1221,MALEIC ANHYDRIDE,"MALEIC ANHYDRIDE FROM N-BUTANE, FLUIDI BED REACTOR, ORGANIC SOLVENT ABSORBTION"
1222,MALEIC ANHYDRIDE,"MALEIC ANHYDRIDE FROM N-BUTANE, MOVING BED REACTOR"
1223,MALEIC ANHYDRIDE,"MALEIC ANHYDRIDE FROM N-BUTENES, FLUID BED REACTOR, DIRECT DEHYDRATION"
1225,MANCOZEB,MANCOZEB PESTICIDE FROM ETHYLENEDIAMINE AND CARBON DISULFIDE
1229,MDI AND PMPPI,MDI AND PMPPI VIA VAPOR PHASE CARBONYLATION OF ANILINE
1230,MDI AND PMPPI,METHYLENE DIPHENYLENE ISOCYANATE AND POLYMERIC FORM (PMPPI) BY PHOSGENATION
1231,MDI AND PMPPI,METHYLENE DIPHENYLENE ISOCYANATE AND POLYMERIC FORM(PMPPI) BY CARBONYLATION
1232,"MDI, HYDROGENATED","METHYLENE DIPHENYLENE ISOCYANATE (MDI), HYDROGENATED FROM MDA"
1233,MELAMINE,MELAMINE BY SGES INTEGRATED WITH UREA BY BUFFERED
1234,MELAMINE,MELAMINE FROM UREA BY THE BASF PROCESS
1235,MELAMINE,MELAMINE FROM UREA BY THE MELAMINE CHEMICALS M-II PROCESS
1236,MELAMINE,MELAMINE FROM UREA BY THE STAMICARBON PROCESS
1237,"METALLOCENE, PAO",METALLOCENE POLYALPHAOLEFIN VIA INEOS TECHNOLOGY
1238,"METALLOCENE, PAO",METALLOCENE POLYALPHAOLEFIN VIA EXXONMOBIL TECHNOLOGY
1239,"METALLOCENE, PAO",METALLOCENE POLYALPHAOLEFIN VIA CHEVRON PHILLIPS TECHNOLOGY
1240,METHACRYLATE-BUTADIENE-STYRENE,METHACRYLATE-BUTADIENE-STYRENE VIA EMULSION POLYMERIZATION
1243,METHAMIDOPHOS,METHAMIDOPHOS FROM DMPCT AND AMMONIUM HYDROXIDE
1244,METHANE,METHANE BY CO-ELECTROLYSIS OF FLUE GAS AND STEAM
1245,METHANE,METHANE FROM INDUSTRIAL CO2 EMISSIONS AND ELECTROLYTIC HYDROGEN
1246,METHANE,METHANE BY CO-ELECTROLYSIS OF CO2 AND STEAM
1251,METHANOL,METHANOL FROM COKE OVEN GAS
1252,METHANOL,METHANOL FROM EASTMAN CARBON RENEWAL TECHNOLOGY
1253,METHANOL,METHANOL FROM FLOATING METHANOL PRODUCTION
1254,METHANOL,METHANOL FROM NATURAL GAS BY THE HALDOR TOPSOE TWO-STAGE REFORMING PROCESS
1255,METHANOL,METHANOL FROM NATURAL GAS BY THE ICI COPPER-BASED CATALYST PROCESS
1256,METHANOL,METHANOL FROM NATURAL GAS BY THE ICI LCM PROCESS
1257,METHANOL,METHANOL FROM NATURAL GAS BY THE LURGI COMBINED REFORMING PROCESS
1258,METHANOL,METHANOL ON MEGA SCALE
1259,METHANOL,METHANOL PRODUCTION BY JOHNSON MATTHEY TWO-STAGE PROCESS
1260,METHANOL,METHANOL PRODUCTION FROM COKING GAS
1261,METHANOL,METHANOL PRODUCTION VIA TOYO PROCESS
1262,METHANOL,METHANOL PRODUCTION VIA TOYO TECHNOLOGY
1263,METHANOL,METHANOL FROM COAL VIA SIEMENS GASIFICATION
1264,METHANOL,METHANOL FROM NATURAL GAS BY THE ICI TWO-STAGE REFORMING LCM PROCESS
1265,METHANOL,METHANOL FROM COAL VIA SHELL GASIFICATION
1266,METHANOL,METHANOL (MEGA SCALE) FROM SYNGAS VIA HALDOR TOPSOE TECHNOLOGY
1267,METHANOL,METHANOL FROM COAL VIA GE QUENCH GASIFICATION
1268,METHANOL,GREEN METHANOL PRODUCTION PROCESS
1269,METHANOL,METHANOL (MEGA SCALE) FROM SYNGAS VIA JM/ICI/DPT TECHNOLOGY
1270,METHANOL,METHANOL (MEGA SCALE) FROM SYNGAS VIA LURGI TECHNOLOGY
1271,METHANOL,METHANOL (MEGA SCALE) FROM SYNGAS VIA TOYO ENGINEERING TECHNOLOGY
1272,METHANOL,METHANOL (MEGA SCALE) VIA HALDOR TOPSOE TECHNOLOGY
1273,METHANOL,METHANOL FROM COAL VIA GE RADIANT GASIFICATION
1274,METHANOL,METHANOL (MEGA SCALE) VIA JM/ICI/DPT TECHNOLOGY
1275,METHANOL,METHANOL (MEGA SCALE) VIA LURGI TECHNOLOGY
1276,METHANOL,METHANOL (MEGA SCALE) VIA TOYO ENGINEERING TECHNOLOGY
1277,METHANOL,METHANOL BY BSE'S FLEXMETHANOL PROCESS
1278,METHANOL,METHANOL FROM ENERKEM FEEDSTOCK (PLASTICS) CHEMICAL RECYCLING PROCESS
1279,METHANOL,METHANOL BY HALDOR TOPSOE AUTOTHERMAL REFORMING-BASED PROCESS
1280,METHANOL,METHANOL FROM COAL PROCESS
1281,METHANOL,METHANOL FROM BITUMINOUS COAL VIA LURGI TECHNOLOGY
1282,METHANOL,METHANOL FROM BITUMINOUS COAL
1283,METHANOL,METHANOL FROM BIOMASS PROCESS
1284,METHANOL,METHANOL BY CASALE COMBINED REFORMING-BASED PROCESS
1285,METHANOL,METHANOL BY LURGI COMBINED REFORMING-BASED PROCESS
1286,METHANOL,METHANOL FROM COAL VIA E-GAS GASIFICATION
1287,METHANOL,METHANOL BY LOW CARBON DIOXIDE EMISSIOIN PROCESS
1288,METHANOL,METHANOL BY JOHNSON MATTHEY/DAVY TWO-STAGE REFORMING-BASED PROCESS
1290,METHOMYL,METHOMYL PESTICIDE FROM ACETALDEHYDE VIA CARBAMYLATION IN MEK
1291,METHYL ACETATE,METHYL ACETATE FROM SYNGAS VIA DMTE TECHNOLOGY
1292,METHYL ACRYLATE,METHYL ACRYLATE FROM ACRYLIC ACID BY ESTERIFICATION
1294,METHYL CHLORIDE,METHYL CHLORIDE FROM METHANOL AND EXCESS HCl IN VAPOR PHASE
1295,METHYL CHLORIDE,METHYL CHLORIDE FROM METHANOL AND EXCESS HCl IN LIQUID PHASE
1296,METHYL CHLOROFORMATE,METHYL CHLOROFORMATE FROM METHANOL AND PHOSGENE
1298,METHYL ESTER SULFONATE,METHYL ESTER SULFONATE PRODUCTION
1299,METHYL ESTER SULFONATES,METHYL ESTER SULFONATES BY SO3-AIR SULFONATION
1300,METHYL ETHYL KETONE,METHYL ETHYL KETONE FROM MTBE RAFFINATE VIA SEC-BUTANOL BY DIRECT HYDRATION
1301,METHYL FORMATE,METHYL FORMATE BY VAPOR PHASE DEHYDROGENATION OF METHANOL
1304,METHYL ISOBUTYL CARBINOL,METHYL ISOBUTYL CARBINOL FROM METHYL ISOBUTYL KETONE BY HYDROGENATION
1305,METHYL ISOBUTYL KETONE,METHYL ISOBUTYL KETONE FROM ACETONE
1306,METHYL ISOBUTYL KETONE,METHYL ISOBUTYL KETONE PRODUCTION VIA MITSUBISHI’S ONE-STEP ACETONE PROCESS
1307,METHYL ISOCYANATE,METHYL ISOCYANATE FROM METHYLAMINE BY ESTERIFICATION AND SPLITTING
1308,METHYL MERCAPTAN,METHYL MERCAPTAN FROM METHANOL AND HYDROGEN SULFIDE
1309,METHYL METHACRYLATE,"METHYL METHACRYLATE VIA ACETONE CYANOHYDRIN, AHIBA AND MAHIB"
1310,METHYL METHACRYLATE,METHYL METHACRYLATE BY BASF PROCESS
1311,METHYL METHACRYLATE,METHYL METHACRYLATE BY EVONIK'S ETHYLENE BASED PROCESS
1312,METHYL METHACRYLATE,METHYL METHACRYLATE FROM BASF ETHYLENE VIA PROPIONALDEHYDE AND METHACROLEIN
1313,METHYL METHACRYLATE,METHYL METHACRYLATE FROM CONVENTIONAL ACETONE CYANOHYDRIN PROCESS
1314,METHYL METHACRYLATE,METHYL METHACRYLATE FROM ISOBUTYLENE VIA METHACROLEIN BY ASAHIS OXIDATIVE-ESTERIFICATION TECHNOLOGY
1315,METHYL METHACRYLATE,METHYL METHACRYLATE FROM PROPIONIC ACID VIA METHACRYLIC ACID
1316,METHYL METHACRYLATE,METHYL METHACRYLATE FROM PROPYNE
1317,METHYL METHACRYLATE,METHYL METHACRYLATE FROM T-BUTANOL VIA SEPARATE DIRECT OXIDATION PROCESS
1318,METHYL METHACRYLATE,METHYL METHACRYLATE FROM CONVENTIONAL ACETONE CYANOHYDRIN WITH SULFURIC ACID RECYCLE
1319,METHYL METHACRYLATE,METHYL METHACRYLATE VIA SUMITOMO/NIPPON TANDEM OXIDATION TECHNOLOGY
1320,METHYL METHACRYLATE,METHYL METHACRYLATE VIA MITSUBISHI GAS CHEMICAL PROCESS WITH METHYL FORMATE
1321,METHYL METHACRYLATE,METHYL METHACRYLATE VIA MITSUBISHI GAS CHEMICAL PROCESS WITH METHANOL
1322,METHYL METHACRYLATE,METHYL METHACRYLATE VIA LUCITE TECHNOLOGY (C2 BASED)
1323,METHYL METHACRYLATE,METHYL METHACRYLATE VIA INTEGRATED EVONIK TECHNOLOGY
1324,METHYL METHACRYLATE,METHYL METHACRYLATE VIA EVONIK TECHNOLOGY
1325,METHYL METHACRYLATE,METHYL METHACRYLATE VIA EASTMAN TECHNOLOGY (C2 BASED)
1326,METHYL METHACRYLATE,METHYL METHACRYLATE VIA ASAHI DIRECT OXIDATION (2-STEP) PROCESS
1327,METHYL PARATHION,METHYL PARATHION 80% SOLUTION IN XYLENES
1328,METHYL SOYATE,METHYL SOYATE VIA HOMOGENEOUS ALKALINE CATALYSIS
1329,METHYL T-BUTYL ETHER,MTBE PRODUCTION INTEGRATED WITH N-BUTENE ISOMERIZATION AND PETROCHEMICAL PLANT PROCESS
1330,METHYL T-BUTYL ETHER,MTBE FROM A CAT-CRACKED C4 STREAM
1331,METHYL T-BUTYL ETHER,MTBE FROM A STEAM-CRACKED C4 STREAM
1332,METHYL T-BUTYL ETHER,MTBE PRODUCTION FROM STEAM CRACKER C4 STREAM
1333,METHYL T-BUTYL ETHER,MTBE PRODUCTION INTEGRATED WITH N-BUTENE ISOMERIZATION AND REFINERY PROCESS
1336,METHYLAMINES,METHYLAMINES FROM METHANOL AND AMMONIA
1337,METHYLAMINES,METHYLAMINES VIA THE NITTO CHEMICAL PROCESS
1341,METHYLENE DIPHENYLENE ISOCYANATE,METHYLENE DIPHENYL ISOCYANATE BY VAPOR-PHASE PHOSGENATION OF MDA
1342,METHYLTETRACYCLODODECENE,METHYLTETRACYCLODODECENE FROM PROPYLENE AND DICYCLOPENTADIENE VIA METHYLNORBORNENE
1343,MF MOLDING COMPOUND,MF MOLDING COMPOUND MANUFACTURE
1344,MF RESIN,MF RESIN SYRUP MANUFACTURE
1345,MIDDLE DISTILLATE,SMALL SCALE LAND BASED GTL VIA VELOCYS SINGLE STAGE F-T REACTOR
1346,MIDDLE DISTILLATE,SMALL SCALE LAND BASED GTL VIA VELOCYS TWO-STAGE F-T REACTOR SYSTEM
1353,MONOAMMONIUM PHOSPHATE,"MONOAMMONIUM PHOSPHATE, CRYSTALLINE POWDER (10-52-0)"
1354,MONOAMMONIUM PHOSPHATE,"MONOAMMONIUM PHOSPHATE, GRANULATED (11-54-0) FROM ANHYDROUS MELT"
1356,MONOSODIUM GLUTAMATE-H2O,MONOSODIUM GLUTAMATE MONOHYDRATE FROM L-GLUTAMIC ACID
1357,MSA RESIN,METHYL-STYRENE-ACRYLONITRILE RESIN BY CONTINUOUS MASS POLYMERIZATION
1358,MTD-DCPC COPOLYMER,HYDROGENATED METHYLTETRACYCLODODECENE-DICYCLOPENTADIENE COPOLYMER FROM MTD AND DCPD
1359,"N,N-DIETHYLANILINE","N,N-DIETHYLANILINE FROM ANILINE BY VAPOR PHASE ETHYLATION"
1360,"N,N-DIMETHYLANILINE","N,N-DIMETHYLANILINE FROM ANILINE BY LIQUID PHASE METHYLATION"
1362,N-BUTANOL,"N-BUTANOL FROM PROPYLENE VIA N-BUTYRALDEHYDE, RHODIUM CATALYST"
1363,N-BUTANOL,N-BUTANOL FROM N-BUTYRALDEHYDE BY TWO-STAGE HYDROGENATION
1364,N-BUTANOL,N-BUTANOL FROM CORN
1365,N-BUTANOL,"N-BUTANOL FROM PROPYLENE, COBALT-PHOSPHINE CATALYST"
1366,N-BUTANOL,PRODUCTION OF N-BUTANOL FROM N-BUTYRALDEHYDE
1367,N-BUTANOL,"N-BUTANOL FROM PROPYLENE, COBALT HYDROCARBONYL CATALYST"
1368,N-BUTANOL AND 2-ETHYLHEXANOL,"N-BUTANOL AND 2-ETHYLHEXANOL (2:1 RATIO) FROM PROPYLENE VIA N-BUTYRALDEHYDE, Rh CATALYST"
1370,N-BUTYL ACRYLATE,N-BUTYL ACRYLATE PROCESS
1371,N-BUTYL ACRYLATE,N-BUTYL ACRYLATE FROM ACRYLIC ACID BY ESTERIFICATION
1372,N-BUTYL ISOCYANATE,N-BUTYL ISOCYANATE FROM N-BUTYLAMINE AND PHOSGENE
1373,N-BUTYLAMINE,N-BUTYLAMINE FROM N-BUTANOL
1374,N-BUTYLAMINE,N-BUTYLAMINE FROM N-BUTYRALDEHYDE
1377,N-BUTYRALDEHYDE,N-BUTYRALDEHYDE BY THE OIL-SOLUBLE PHOSPHINE PROCESS WITH DUAL REACTORS
1378,N-BUTYRALDEHYDE,N-BUTYRALDEHYDE BY THE WATER-SOLUBLE PHOSPHINE PROCESS WITH A SECONDARY REACTOR
1379,N-BUTYRALDEHYDE,N-BUTYRALDEHYDE FROM PROPYLENE BY THE PHOSPHITE PROCESS WITH C3 ABSORPTION
1380,N-BUTYRALDEHYDE,N-BUTYRALDEHYDE PRODUCTION BY LP OXO SELECTOR PROCESS
1381,N-BUTYRALDEHYDE,N-BUTYRALDEHYDE FROM PROPYLENE VIA LP OXO PROCESS WITH LIQUID RECYCLE
1382,N-BUTYRALDEHYDE,N-BUTYRALDEHYDE FROM PROPYLENE (WATER-SOL Rh CATALYST)
1388,N-METHYL-2-PYRROLIDONE,N-METHYL-2-PYRROLIDONE FROM GAMMA BUTYROLACTONE AND METHYLAMINE
1391,N-VALERALDEHYDE,N-VALERALDEHYDE FROM C4 OLEFINS BY BASF HYDROFORMYLATION
1392,NANOCLAY,NANOCLAY FROM CRUDE CLAY
1393,NAPHTHA,NAPHTHA BY SHENHUA COAL BASED PROCESS
1394,NAPHTHA,NAPHTHA BY YITAI COAL BASED PROCESS
1395,NAPHTHA & DIESEL,EXXON PROCESS FOR NAPHTHA & DIESEL BY SLURRY-PHASE F-T SYNTHESIS
1396,NAPHTHA & DIESEL,SYNTROLEUM PROCESS FOR NAPHTHA & DIESEL BY SLURRY-PHASE F-T SYNTHESIS WITH AN INTEGRATED POWER BLOCK
1397,NAPHTHA & DIESEL,SYNTROLEUM PROCESS FOR NAPHTHA & DIESEL BY SLURRY-PHASE F-T SYNTHESIS
1398,"NAPHTHA, AROMATIC","NAPHTHA, AROMATIC FROM LIGHT OLEFINS FCC-WITHOUT ARU"
1399,"NAPHTHA, FCC",FCC NAPHTHA DESULFURIZATION VIA CATALYTIC DISTILLATION TECHNOLOGIES (CDTECH) HDS PROCESS
1400,"NAPHTHA, FCC",FCC NAPHTHA DESULFURIZATION VIA MOBIL OIL OCTAGAIN™ PROCESS
1401,"NAPHTHA, FCC",FCC NAPHTHA DESULFURIZATION VIA PHILLIPS PETROLEUM S ZORB™ PROCESS
1402,"NAPHTHA, HEAVY","NAPHTHA, HEAVY FROM FCC LIGHT CYCLE OIL/STRAIGHT RUN DISTILLATE BY HYDROCRACKING"
1403,"NAPHTHA, LIGHT","NAPHTHA, LIGHT FROM CONDENSATE SPLITTER"
1405,NAPHTHALENE,"NAPHTHALENE, FROM COAL TAR HYDROREFINING"
1407,NAPROXEN,NAPROXEN RESOLUTION BY CRYSTALLIZATION
1408,NATURAL DETERGENT ALCOHOL,NATURAL DETERGENT ALCOHOLS BY A VAPOR PHASE ESTER HYDROGENATION PROCESS
1409,NATURAL GAS,"NATURAL GAS SWEETENING BY MEMBRANE SEPARATION CASE 2 (HIGH H2S, LOW CO2 )"
1410,NATURAL GAS,"NATURAL GAS SWEETENING BY MEMBRANE SEPARATION CASE 3 (MODERATE H2S, HIGH CO2)"
1411,NATURAL GAS,"NATURAL GAS SWEETENING BY MEMBRANE SEPARATION CASE 4 (HIGH H2S, HIGH CO2)"
1412,NATURAL GAS,"NATURAL GAS SWEETENING BY MEMBRANE SEPARATION CASE 5 (LOW H2S, LOW CO2)"
1413,NATURAL GAS,"NATURAL GAS SWEETENING BY MEMBRANE SEPARATION CASE 6 (LOW H2S, LOW CO2, NO RECYCLE)"
1414,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 9 (2 MOL% H2S, 20 MOL% CO2)"
1415,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 8 (10 MOL% H2S, 12 MOL% CO2)"
1416,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 7 (6 MOL% H2S, 5 MOL% CO2)"
1417,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 6 (6 MOL% H2S, 20 MOL% CO2)"
1418,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 5 (2 MOL% H2S, 12 MOL% CO2)"
1419,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 4 (10 MOL% H2S, 5 MOL% CO2)"
1420,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 3 (10 MOL% H2S, 20 MOL% CO2)"
1421,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 12 (10 MOL% H2S, 20 MOL% CO2)"
1422,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 11 (6 MOL% H2S, 12 MOL% CO2)"
1423,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 10 (2 MOL% H2S, 5 MOL% CO2)"
1424,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 1 (2 MOL% H2S, 5 MOL% CO2)"
1425,NATURAL GAS,ACID GAS REMOVAL FROM NATURAL GAS BY SULFINOL-X ABSORPTION
1426,NATURAL GAS,NATURAL GAS FROM LNG REGASIFICATION TERMINAL
1427,NATURAL GAS,"ACID GAS REMOVAL WITH MDEA, PIPERAZINE, CLAUS AND TAIL GAS UNIT CASE 2 (6 MOL% H2S, 12 MOL% CO2)"
1428,NATURAL GAS,NATURAL GAS LEAN PROCESSING
1429,NATURAL GAS,"NATURAL GAS SWEETENING BY MEMBRANE SEPARATION CASE 1 (LOW H2S, LOW CO2)"
1430,NATURAL GAS LIQUIDS,NGL BY CONVENTIONAL TURBOEXPANDER WITH ETHANE RECOVERY RICH A FEED
1431,NATURAL GAS LIQUIDS,NGL BY CONVENTIONAL TURBOEXPANDER WITH ETHANE RECOVERY LEAN FEED
1432,NATURAL GAS LIQUIDS,NGL BY RECYCLE SPLIT-VAPOR TURBOEXPANDER WITH ETHANE REJECTION RICH B FEED
1433,NATURAL GAS LIQUIDS,NGL BY RECYCLE SPLIT-VAPOR TURBOEXPANDER WITH ETHANE RECOVERY RICH B FEED
1434,NATURAL GAS LIQUIDS,NGL BY GAS SUBCOOLED TURBOEXPANDER WITH ETHANE RECOVERY RICH B FEED
1435,NATURAL GAS LIQUIDS,NGL BY GAS SUBCOOLED TURBOEXPANDER WITH ETHANE REJECTION RICH B FEED
1436,NATURAL GAS LIQUIDS,NGL BY CONVENTIONAL TURBOEXPANDER WITH ETHANE REJECTION RICH B FEED
1437,NATURAL GAS LIQUIDS,NGL BY CONVENTIONAL TURBOEXPANDER WITH ETHANE REJECTION RICH A FEED
1438,NATURAL GAS LIQUIDS,NGL BY CONVENTIONAL TURBOEXPANDER WITH ETHANE REJECTION LEAN FEED
1439,NATURAL GAS LIQUIDS,NGL BY CONVENTIONAL TURBOEXPANDER WITH ETHANE RECOVERY RICH C FEED
1440,NATURAL GAS LIQUIDS,NGL BY CONVENTIONAL TURBOEXPANDER WITH ETHANE REJECTION RICH C FEED
1441,NATURAL GAS LIQUIDS,NGL BY CONVENTIONAL TURBOEXPANDER WITH ETHANE RECOVERY RICH B FEED
1442,NGL (50% Ethane),"NATURAL GAS LIQUIDS BY THE REFRIGERATED ABSORPTION PROCESS, RICH GAS, 50% ETHANE RECOVERY"
1444,NGL (86% Ethane),"NATURAL GAS LIQUIDS BY CASCADE REFRIGERATION PROCESS, RICH GAS, 86% ETHANE RECOVERY"
1445,NGL (86% Ethane),"NATURAL GAS LIQUIDS BY THE EXPANDER PROCESS, RICH GAS, 86% ETHANE RECOVERY"
1446,NITRIC ACID (60%),"NITRIC ACID, 60% FROM AMMONIA BY CATALYTIC OXIDATION"
1447,NITRIC ACID (60%),"NITRIC ACID, 60% BY KBR WEATHERLY MONO PRESSURE PROCESS"
1448,NITRIC ACID (60%),"NITRIC ACID, 60% BY KBR WEATHERLY DUAL PRESSURE PROCESS"
1449,NITRIC ACID (99%),"NITRIC ACID, CONCENTRATED (99.0%), BY DISTILLATION OF SUPERAZEOTROPIC ACID"
1451,NITRILE BARRIER RESIN,NITRILE BARRIER RESIN PROCESS
1452,NITROBENZENE,NITROBENZENE FROM BENZENE BY ADIABATIC NITRATION
1453,NITROBENZENE,NITROBENZENE FROM BENZENE BY CONVENTIONAL NITRATION
1455,NITROGEN (95%),NITROGEN OF 95% PURITY FROM AIR BY MEMBRANE SEPARATION
1456,NITROGEN (95%),NITROGEN OF 95% PURITY FROM AIR BY PRESSURE SWING ADSORPTION (PSA)
1461,NONYL ALDEHYDE,HYDROFORMYLATION OF OCTENE USING SUPERCRITICAL CO2
1462,NONYLPHENOL ETHOXYLATE,NONYLPHENOL ETHOXYLATE NONIONIC SURFACTANT FROM NONYLPHENOL AND ETHYLENE OXIDE
1463,NORBORNENE,NORBORNENE FROM DCPD AND ETHYLENE
1464,NYLON 11 CHIPS,NYLON 11 CHIPS FROM AMINOUNDECANOIC ACID BY CONTINUOUS PROCESS
1465,"NYLON 4,6","NYLON 4,6 FROM TETRAMETHYLENE DIAMINE AND ADIPIC ACID"
1467,NYLON 6 CHIPS,CONTINUOUS PRODUCTION OF NYLON 6 CHIPS
1468,NYLON 6 CHIPS,NYLON 6 CHIPS BY CONT. PROCESS FROM BUTADIENE VIA CAPROLACTAM FROM AMINOCAPROATE
1469,NYLON 6 CHIPS,NYLON 6 CHIPS BY CONT. PROCESS FROM BUTADIENE VIA CAPROLACTAM/HMDA FROM ADN
1470,NYLON 6 CHIPS,NYLON 6 CHIPS BY CONT. PROCESS FROM CYCLOHEXANE VIA CAPROLACTAM HPO
1471,NYLON 6 CHIPS,NYLON 6 CHIPS BY CONT. PROCESS FROM CYCLOHEXANE VIA CAPROLACTAM NOx
1472,NYLON 6 CHIPS,NYLON 6 CHIPS BY CONT. PROCESS FROM PHENOL VIA CAPROLACTAM HPO
1473,NYLON 6 CHIPS,NYLON 6 CHIPS FROM CAPROLACTAM
1474,NYLON 6 CHIPS,"NYLON 6 CHIPS [HMDA BY-PRODUCT], BY CONT. PROCESS FROM BUTADIENE VIA CAPROLACTAM AND HMDA FROM ADN"
1475,NYLON 6 CHIPS,POLYAMIDE 6 CHIP PRODUCTION BY A PROCESS SIMILAR TO ZIMMER® CONTINUOUS TWO-STAGE POLYMERIZATION PROCESS
1476,NYLON 6 MELT,NYLON 6 MELT FROM CAPROLACTAM FOR DIRECT SPINNING
1477,NYLON 612 CHIPS,"NYLON 612 CHIPS FROM HEXAMETHYLENE DIAMINE AND 1,12-DODECANEDIOIC ACID"
1478,NYLON 66 CHIPS,NYLON 66 CHIPS FROM ADIPIC ACID AND HEXAMETHYLENEDIAMINE
1479,NYLON 66 CHIPS,NYLON 66 CHIPS BY THE CONTINUOUS PROCESS
1480,NYLON 66 CHIPS,NYLON 66 CHIPS FROM A NYLON SALT AQUEOUS SOLUTION (63%) BY A CONTINUOUS PROCESS
1481,NYLON 66 CHIPS,NYLON 66 CHIPS FROM SOLID NYLON SALT BY A BATCH PROCESS
1482,NYLON 66 RESIN,NYLON 66 BY CONT. PROCESS FROM CYCLOHEXANE VIA ADA OXIDATION AND BUTADIENE VIA HMDA HYDROCYANATION
